;Gene Symbol;Entrez;logFC;AveExpr;t;P.Value;adj.P.Val;B
16781912;OR6C4//YME1L1//TRAV19;341418;-0.5952542043;3.3868990476;-0.5285897908;0.6029229733;0.8958150726;-5.6484153257
16859583;COLGALT1//GLT25D1;79709;-0.2763844863;3.5957404815;-0.5284798796;0.6029978387;0.8958150726;-5.6484697955
16858849;MRI1;84245;-0.204252688;1.9675673915;-0.5282410193;0.6031605527;0.8959315659;-5.6485881321
16980355;SMAD1-AS1//RP11-301H24.4;---;-0.2631772583;1.3169109998;-0.5280790907;0.6032708722;0.895970211;-5.6486683255
16826803;KIFC3;3801;0.2136131757;1.3907646562;0.5276938343;0.6035333808;0.8959929715;-5.6488590239
16855562;RNU2-69P;---;0.2400210797;1.5450639179;0.5276050453;0.6035938882;0.8959929715;-5.6489029544
16784381;LGALS3;3958;-0.2832508959;2.4882500331;-0.5274258352;0.6037160244;0.8959929715;-5.6489916013
16814115;HBM;3042;-0.1989035959;1.5060634816;-0.5274214787;0.6037189936;0.8959929715;-5.6489937559
16947235;GMPS;8833;-0.2643584381;4.5567607103;-0.5271844291;0.6038805676;0.8959929715;-5.6491109675
16820193;CTCF;10664;0.2111836809;6.5260877034;0.527149403;0.6039044433;0.8959929715;-5.6491282822
17118062;LOC100272216;100272216;0.2834161398;2.12552216;0.5271488019;0.603904853;0.8959929715;-5.6491285793
17072743;RP11-473O4.4;---;0.2337846859;1.8759183646;0.5270669687;0.6039606368;0.8959929715;-5.649169028
16911212;MCM8;84515;-0.275948243;2.1198047185;-0.5268595468;0.6041020425;0.8960776703;-5.6492715257
16878744;AL133247.2;---;-0.2094645378;1.2910034957;-0.5264077189;0.6044101227;0.896397372;-5.6494946615
17012165;HSF2;3298;-0.2433936871;2.8790105558;-0.5262960746;0.6044862594;0.896397372;-5.6495497686
16698232;RNU6-487P;---;-0.4113856331;3.5371903901;-0.5254248954;0.605080526;0.8971534361;-5.6499793889
16704796;CHAT;1103;-0.2240820715;1.4625509251;-0.5245611179;0.6056700216;0.8978055168;-5.6504046772
16997676;MTRNR2L2;100462981;0.2990777915;1.8434291122;0.5244014313;0.6057790321;0.8978055168;-5.650483226
17010991;CASP8AP2;9994;-0.2448722552;2.9031917779;-0.5243970433;0.6057820277;0.8978055168;-5.6504853841
16870925;ZNF724P;440519;-0.259029018;1.3306076381;-0.5241181837;0.605972415;0.8978055168;-5.6506224965
16836156;UTP18;51096;-0.1922439793;4.0048399734;-0.5240804748;0.6059981624;0.8978055168;-5.6506410321
16786906;MIR1260A;100302236;-0.2298013698;2.0870325385;-0.523988723;0.6060608122;0.8978055168;-5.6506861269
17118368;DSERG1;751816;-0.2405145582;2.3939166538;-0.5238710401;0.6061411727;0.8978055168;-5.6507439552
16660648;MIR3115;100422866;-0.309657307;1.3158983867;-0.5237392019;0.6062312055;0.8978055168;-5.6508087245
16739784;C11orf95//RP11-466C23.3;65998;0.2229185501;1.5079701376;0.5235442596;0.6063643439;0.8978055168;-5.6509044663
17085055;DCAF10;79269;-0.2283529533;3.0409964273;-0.5235305083;0.6063737361;0.8978055168;-5.6509112187
16902409;RNU6-675P;---;0.2284276423;1.7916935875;0.5234115965;0.6064549561;0.8978055168;-5.6509696012
17034714;HLA-DRB1//LOC100996809//HLA-DRB3//HLA-DRB5;3123;-0.2450731722;4.5764058798;-0.5232958423;0.6065340243;0.8978055168;-5.6510264212
16797417;IGHJ2//SKAP2//IGHG1//IGHD;---;0.2158179756;1.1897671051;0.5231082386;0.6066621813;0.8978701662;-5.6511184837
16690473;CLCC1;23155;-0.1916095508;3.326255842;-0.5228417682;0.6068442367;0.8980145569;-5.6512491934
16708919;GSTO1;9446;0.2126219513;3.1200608073;0.5226855645;0.6069509689;0.8980353925;-5.6513257848
16901699;LIMS3-LOC440895//LIMS3//LIMS3L//AC108938.5//LIMS1;100271835;0.2453423588;3.5652306882;0.5225738454;0.6070273108;0.8980353925;-5.6513805504
17114878;LOC101928917//RP5-937E21.8;101928917;0.2214158492;1.5124823436;0.522331688;0.6071928021;0.8981551985;-5.6514992189
16803094;CPLX3//RP11-414J4.2//LMAN1L;594855;-0.2259052516;2.2644973644;-0.5219049537;0.6074844867;0.8981975511;-5.6517082088
17117748;LOC100506596;100506596;0.2253359381;2.6877000734;0.5218860876;0.6074973837;0.8981975511;-5.6517174445
16881246;NAGK;55577;-0.2317354566;2.3683752641;-0.5218439769;0.6075261715;0.8981975511;-5.6517380582
16802316;C15orf61;145853;-0.2285701798;3.3703567259;-0.5217524399;0.6075887504;0.8981975511;-5.6517828611
16884629;IL1RN;3557;-0.2414431743;1.2701600513;-0.5216716329;0.6076439963;0.8981975511;-5.6518224058
16895869;FTH1P3;2498;0.2302000917;4.3443593128;0.5215317217;0.6077396561;0.8982140266;-5.6518908605
16793632;TRMT5;57570;0.2080640883;1.9474573562;0.5211916725;0.6079721841;0.8984327549;-5.6520571629
17061119;RASA4B//RASA4//RP11-514P8.8//RASA4CP//RP11-514P8.6;100271927;-0.3324469208;2.7610943865;-0.5209109187;0.6081641977;0.8985044817;-5.6521943872
16722684;ZDHHC13;54503;-0.2131972952;1.7232402836;-0.520873307;0.6081899234;0.8985044817;-5.6522127653
