;Gene Symbol;Entrez;logFC;AveExpr;t;P.Value;adj.P.Val;B
16748122;RP11-118B22.4;---;-3.8204263143;3.7371852477;-6.6357661253;1.86643445527548E-006;0.0198364654;4.4622022094
16815310;TNFRSF12A;51330;3.2168906896;3.3284811096;5.7802817896;1.18915898994975E-005;0.0631919087;3.0020533043
16897397;RNU4-49P;---;-1.9989115908;1.5135307121;-5.3541912712;3.08923422496083E-005;0.0795970379;2.2300321757
17116384;TXLNGY//TXLNG2P;246126;-2.22407574;2.9786360237;-5.3121274413;3.39804575882752E-005;0.0795970379;2.152348725
17116200;USP9Y;8287;-1.8974592905;2.7175440732;-5.2636264611;3.79343560349199E-005;0.0795970379;2.0624674806
16662685;INPP5B//RP11-109P14.10;3633;-3.1219601859;5.7051390589;-5.1573658113;4.8317156550132E-005;0.0795970379;1.8644174682
17116251;DDX3Y;8653;-2.7381636999;3.1431285707;-5.121622954;5.24255989245868E-005;0.0795970379;1.7974602904
16663051;ZFP69B;65243;2.8729063207;2.4461362333;4.9060500801;8.59590788562109E-005;0.1082745765;1.3902143615
16885939;RAB3GAP1;22930;1.8297426025;2.9442602011;4.8780334982;0.000091689;0.1082745765;1.3368796256
17004167;IRF4;3662;2.594536153;4.2090594794;4.7879905245;0.0001128636;0.1106232323;1.1648759216
17116977;UTY;7404;-2.4123962604;3.1544375329;-4.7187175238;0.0001324756;0.1106232323;1.0319633812
17112149;XIST;7503;4.4114707196;3.3601652505;4.7074186538;0.0001359871;0.1106232323;1.0102384989
17104920;TSIX;9383;4.1665342191;3.6192726907;4.6395812749;0.0001591403;0.1106232323;0.8795449898
16829037;ZCCHC14;23174;1.8852690565;1.970939989;4.6277411354;0.0001635722;0.1106232323;0.8566898804
17004333;TUBB2A;7280;1.8865800739;5.1280025948;4.6199961294;0.0001665386;0.1106232323;0.8417327325
16949792;FAM43A;131583;1.7216746318;2.178758551;4.5322738992;0.0002041791;0.1217020137;0.6719570587
16902476;MAP3K2;10746;1.8613598079;4.1648075422;4.5282061921;0.0002061193;0.1217020137;0.6640687821
16915042;CASS4;57091;-2.9872597575;5.5101705853;-4.4550818387;0.0002443497;0.1307431591;0.522041072
17025664;MIR1913;100302141;1.6924145552;2.0246416746;4.4521292849;0.0002460353;0.1307431591;0.5162978915
17009627;RN7SK;125050;2.3430028708;8.0290969008;4.3401208521;0.0003194165;0.1616551535;0.2979808602
17117126;KDM5D;8284;-1.7642231515;1.8619697408;-4.31816146;0.0003362027;0.1624164845;0.2550860021
16804942;FURIN;5045;1.4918632602;4.9641248716;4.2836550332;0.0003643891;0.1652987694;0.1876266321
17118451;TXLNGY//TXLNG2P;246126;-1.9301152611;2.9003000473;-4.2729976159;0.0003735653;0.1652987694;0.1667785445
16997383;F2RL2;2151;-1.8649331492;2.7039096333;-4.2558396728;0.0003888285;0.1652987694;0.1332017717
16695392;SLAMF6;114836;-1.9957990743;6.5784656577;-4.1810576763;0.0004630026;0.1786435037;-0.0133035351
16672373;PYHIN1;149628;-1.4543525101;5.7024084487;-4.1624413873;0.0004835755;0.1786435037;-0.0498116825
17081708;AGO2;27161;1.8731429895;4.3504385708;4.1590207738;0.000487454;0.1786435037;-0.0565212443
17116050;PRKY;5616;-2.6016069165;3.8930815085;-4.1275950243;0.000524577;0.1858401564;-0.1181827698
16782070;TRAJ27//YME1L1;---;-2.8650655093;4.2311956302;-4.1082012505;0.0005488855;0.1881792091;-0.1562524262
16854016;SPIRE1;56907;1.4323836134;1.8965382769;4.0789946312;0.0005876366;0.1941763724;-0.213605647
16903304;RP11-570L15.2;---;-1.9026232918;3.4969631158;-4.0568719726;0.0006187994;0.1941763724;-0.2570630551
16841907;RASD1;51655;2.3153771505;3.6467497445;4.0552217908;0.000621189;0.1941763724;-0.2603051158
16671914;LMNA;4000;2.2469278965;2.9896425913;4.0257242757;0.0006654943;0.1979178637;-0.318267771
17048876;ARPC1A;10552;-2.5559749105;2.8530511416;-4.0225776637;0.000670403;0.1979178637;-0.3244518785
16704055;HSD17B7P2;158160;-1.49020288;2.3405949813;-3.9895824806;0.0007241034;0.2079938194;-0.3893078737
16990381;LOC100505658//CTD-2024I7.13;100505658;-1.5309613338;1.8705705131;-3.9447528489;0.0008040051;0.2179630263;-0.4774475592
16903140;CXCR4;7852;1.6487727903;8.0292710362;3.9314503611;0.0008293638;0.2179630263;-0.5036046375
16911132;PRNP;5621;1.4342186226;4.5440536453;3.9283017152;0.0008354818;0.2179630263;-0.5097960339
17008477;FOXP4;116113;1.7865568894;3.836545422;3.9234014437;0.000845093;0.2179630263;-0.5194318404
16706180;PLAU;5328;1.3814238906;1.60086963;3.9045968735;0.0008830086;0.2179630263;-0.5564092845
16768854;RP11-394J1.2;---;2.2423343832;5.2755770451;3.8874588611;0.0009190373;0.2179630263;-0.5901095871
17065047;LOC389831//LOC102724951;389831;-1.5798526921;2.9099927649;-3.886080676;0.0009219974;0.2179630263;-0.5928196337
16730845;ATM//NPAT;472;-1.5038825996;4.9844569236;-3.8856720264;0.0009228769;0.2179630263;-0.5936231964
16695422;SLAMF1;6504;-1.4936861369;5.066935241;-3.8738045306;0.0009487867;0.2192109812;-0.6169589928
17118156;LOC166994;166994;-1.4198848753;2.0329022512;-3.8578222164;0.0009848274;0.2226153427;-0.6483848384
16699862;MIR4742;100616468;-1.8148218194;3.1306275252;-3.8376739791;0.0010322087;0.2226153427;-0.6879992221
16846016;LRRC37A2;474170;-1.5514406388;7.1736030105;-3.8237847994;0.0010661839;0.2226153427;-0.7153048704
17117114;BCORP1;286554;-2.2159183485;3.0959327757;-3.8201936451;0.0010751478;0.2226153427;-0.7223645571
17021738;BACH2;60468;1.4130671031;2.6047131455;3.8201322004;0.0010753018;0.2226153427;-0.7224853469
16691434;RNA5SP55;---;1.4311739226;2.2686579192;3.8105702238;0.0010995398;0.2226153427;-0.7412818989
16826230;NETO2;81831;2.2403347556;1.8076165173;3.799188984;0.0011290977;0.2226153427;-0.7636528274
17116410;EIF1AY;9086;-1.7766463021;3.0480548527;-3.7984323869;0.0011310904;0.2226153427;-0.7651399151
17081706;CASC7//AGO2;286109;2.1823481633;4.9471910228;3.7771046719;0.0011887216;0.2297042366;-0.8070550212
16781591;RNASE6;6039;-2.1084329297;5.8001147033;-3.7656670908;0.0012208191;0.2316940234;-0.8295293009
16657993;SKI;6497;1.6801433191;3.7511621189;3.7430451657;0.0012868572;0.2399424225;-0.8739710941
16801835;LACTB;114294;2.092856711;3.6017287469;3.7324252351;0.0013190692;0.2400833814;-0.8948297691
16668817;MOV10;4343;-1.3844707396;2.9424756389;-3.7207804955;0.0013553089;0.2400833814;-0.917697517
17117575;RP11-290L1.4;---;-2.5043058684;4.0479328856;-3.7115917337;0.0013846004;0.2400833814;-0.9357393014
16957433;CD200R1;131450;-1.2651355636;4.2538665866;-3.6992235079;0.0014250197;0.2400833814;-0.9600194647
16741897;RNU6-672P;---;-1.3921219879;1.0013045729;-3.6982482339;0.0014282562;0.2400833814;-0.9619338105
17025191;EZR//ROS1;7430;1.3372581477;7.2568210224;3.6980349595;0.0014289649;0.2400833814;-0.962352438
17059776;SAMD9L;219285;-2.0573082223;4.6571404465;-3.6930169107;0.0014457411;0.2400833814;-0.972201697
16725049;FAM111A;63901;-1.5562939228;3.9962781563;-3.6655814776;0.0015409692;0.248797042;-1.0260344294
16830202;XAF1;54739;-2.0104800437;4.4497372751;-3.6644485073;0.0015450324;0.248797042;-1.0282568623
17045369;RALA;5898;1.6466627314;3.8733571483;3.6430410236;0.0016238309;0.2575832032;-1.0702395146
16801028;RNA5SP395;---;-2.1084536362;1.8894743722;-3.6357447516;0.0016515855;0.2581331059;-1.0845437477
17077774;PDE7A;5150;-1.3581264786;5.387509612;-3.6205386105;0.0017109449;0.2598398199;-1.1143471243
16886915;LOC100996579//AC009299.3;100996579;1.863271785;2.3180151259;3.620423395;0.0017114027;0.2598398199;-1.1145728989
16995978;NNT-AS1//RP11-159F24.1;100652772;-1.7747206496;3.1977113406;-3.6068655156;0.0017661172;0.2643703321;-1.1411360751
16669568;SRGAP2;23380;-1.7846445641;5.5323367362;-3.5930174865;0.0018237862;0.2656976943;-1.1682578699
17098567;SH2D3C;10044;-1.4414661734;4.1732649262;-3.5927344213;0.0018249842;0.2656976943;-1.1688121544
16738260;AC103828.1;---;-1.8165479679;2.7306319238;-3.5813242673;0.0018739266;0.2686336478;-1.1911512768
16738917;RNU6-933P;---;-2.7726004703;3.4971680696;-3.571234427;0.0019182835;0.2686336478;-1.2108993006
16662333;RP5-997D16.2;---;1.3516511109;1.6465414155;3.5659511952;0.0019419214;0.2686336478;-1.2212373679
16670826;ZNF687;57592;-1.4635066462;3.0269738241;-3.5649896303;0.0019462543;0.2686336478;-1.2231187502
16829085;SLC7A5;8140;2.8771002283;6.6514727076;3.5417531232;0.0020539103;0.2794853264;-1.2685656652
16954217;UBA7//MIR5193;7318;-1.4476503554;3.9058929345;-3.5327393483;0.002097234;0.2794853264;-1.2861859387
16659686;RSC1A1//DDI2;6248;2.0739148004;4.6577041779;3.5313962419;0.0021037661;0.2794853264;-1.2888110076
16918481;RP5-1125A11.4;---;-1.2420945388;2.4619225431;-3.4982077531;0.0022716979;0.2951929572;-1.3536377748
16879174;QPCT;25797;1.2250479616;1.2730064725;3.4970948767;0.002277552;0.2951929572;-1.3558101908
16747529;TPI1;7167;1.503649313;3.6985835496;3.4912331265;0.0023086326;0.2954902972;-1.3672512487
17088148;SNX30;401548;1.8239310054;3.9020420345;3.4779190203;0.002380787;0.297682399;-1.3932283533
16971995;RAPGEF2;9693;1.6828280706;4.1882848411;3.4582885995;0.0024912358;0.3052684719;-1.4315040779
16962584;BCL6;604;2.1366536617;2.9214282129;3.4548724232;0.0025109647;0.3052684719;-1.4381618403
16690001;DPYD-IT1;---;-1.9257984801;2.5149481971;-3.44904086;0.0025449983;0.3052684719;-1.4495247193
17049676;SERPINE1;5054;2.1667725607;2.62077369;3.447112718;0.0025563506;0.3052684719;-1.4532811094
16819217;MT1E;4493;1.7921223415;3.3539178073;3.4419785384;0.0025868222;0.305474955;-1.4632819564
16780456;STK24;8428;1.2555583149;3.9313036796;3.4341657458;0.0026338774;0.3076137283;-1.4784961728
16755339;ELK3;2004;1.6551287434;5.2470744665;3.4222867973;0.002707038;0.3125481906;-1.5016184829
17043856;AHR;196;1.9802250335;7.2125806364;3.413354873;0.0027633591;0.3125481906;-1.5189961976
16880982;ARHGAP25;9938;-1.3348205973;4.6791718827;-3.4033102703;0.0028280711;0.3125481906;-1.5385300664
16949927;AC124944.3//TNK2-AS1;---;1.3892844477;1.4023570401;3.4010568643;0.0028427916;0.3125481906;-1.5429110168
17000460;RP11-256P1.1;---;1.6579937774;4.4697138982;3.3912923317;0.0029074523;0.3125481906;-1.5618891939
16828450;CFDP1;10428;-1.1728624006;5.4520741635;-3.3899817794;0.0029162399;0.3125481906;-1.5644356737
17037693;ZNRD1;30834;-1.7663326956;3.3713261779;-3.3822056672;0.0029689189;0.3125481906;-1.5795417215
16995601;FYB;2533;-1.4926439921;7.217833161;-3.3763264738;0.0030093656;0.3125481906;-1.5909588753
16833420;CCL4;6351;-2.4434413309;6.7332521367;-3.3740155875;0.0030254112;0.3125481906;-1.5954455929
17108546;BRCC3;79184;-1.6318108784;3.886530019;-3.3725744501;0.0030354601;0.3125481906;-1.5982433757
16868029;RNA5SP463;---;-1.3432071953;2.3982883954;-3.3705129567;0.0030498916;0.3125481906;-1.6022451415
16675578;PTPRC;5788;-1.1252837944;7.4351732595;-3.3699375475;0.0030539317;0.3125481906;-1.6033620488
17013728;MTHFD1L//LOC100996643//LOC101928195;25902;1.2389908035;1.9422891564;3.3691574065;0.0030594177;0.3125481906;-1.6048763012
16803370;RP11-797A18.3;---;-1.9399936372;4.4636018864;-3.3624459419;0.003107014;0.3125481906;-1.6179007177
17013279;STX11;8676;1.5078572891;2.7902163784;3.3577927627;0.0031404385;0.3125481906;-1.6269281009
17089188;ZBTB43;23099;1.3122436591;2.5742691827;3.3569325976;0.0031466557;0.3125481906;-1.6285966186
16748590;EMP1;2012;1.1933249308;1.4997310834;3.3443443946;0.0032390328;0.3158205593;-1.6530060062
17001134;YIPF5;81555;1.395254662;7.2450073263;3.3346231304;0.0033121837;0.3171809586;-1.6718447955
16770471;RP1-71H24.1;---;-1.9168550101;2.304520414;-3.3345588459;0.0033126728;0.3171809586;-1.6719693384
16972819;RNU6-1053P;---;-1.8303459074;1.8478376195;-3.3278626338;0.0033640062;0.3180510151;-1.6849399489
17097340;INIP;58493;-1.3633497615;3.8835258725;-3.3255891442;0.0033816113;0.3180510151;-1.6893426062
17116194;TTTY15;64595;-2.0554830464;3.7221106778;-3.3124674204;0.0034849966;0.3248995083;-1.7147419398
16996347;RNU6ATAC2P//RNU6ATAC;---;1.8770379697;5.9802162294;3.3025264461;0.0035653732;0.3283620863;-1.7339715302
16674927;RGL1;23179;1.7710650455;2.6477235236;3.2991608988;0.0035929934;0.3283620863;-1.7404792112
17098027;STOM;2040;-1.5813514081;4.3918010985;-3.2831575575;0.003727217;0.3342846195;-1.7714055232
16691046;PHTF1;10745;1.6057504162;3.8513056675;3.2801802031;0.0037527237;0.3342846195;-1.7771558999
17034810;HLA-DMB//HLA-DMA;3109;-1.1263184066;3.5506838259;-3.2743160449;0.003803461;0.3342846195;-1.788478659
16782687;IRF9//RP11-468E2.4;10379;-1.452016185;4.9068735218;-3.273792751;0.003808021;0.3342846195;-1.789488855
17056701;AOAH;313;-1.3203082329;5.7931203911;-3.2679331389;0.0038594482;0.3342846195;-1.8007983086
16787112;RNU7-51P;---;1.3481707911;1.5849732387;3.2662751145;0.0038741226;0.3342846195;-1.8039976486
16934227;RTCB;51493;1.351239505;4.8044857559;3.2582362204;0.0039460469;0.3342846195;-1.819504773
16816897;LOC100190986//LOC102725125;100190986;-1.2085859428;6.1487824077;-3.2544174154;0.003980669;0.3342846195;-1.8268684802
17014091;SNX9;51429;1.7241709455;4.2535263806;3.2525078008;0.003998093;0.3342846195;-1.8305500572
16735214;GVINP1;387751;-1.5572944763;4.7957964789;-3.2483581056;0.0040362132;0.3342846195;-1.8385487372
17074062;LOC389607;389607;-1.3600015998;2.3550615919;-3.2461311419;0.0040568167;0.3342846195;-1.8428403865
17000520;SNORD63;26785;-2.3822352505;5.661310507;-3.2434226776;0.0040820133;0.3342846195;-1.8480590986
17014186;TMEM181;57583;-1.3632165825;4.3090394475;-3.2426835125;0.0040889161;0.3342846195;-1.8494831708
17081401;NDRG1;10397;1.207698523;3.9725745932;3.234531014;0.0041658093;0.3351740477;-1.8651850725
16782086;TRAJ19;---;-2.1689570839;2.8516367625;-3.229118116;0.00421764;0.3351740477;-1.8756056736
16689400;GBP5;115362;-1.8370453951;5.1317031807;-3.2262198706;0.0042456498;0.3351740477;-1.8811836307
16851191;LDLRAD4;753;1.2044479262;2.0416898969;3.2249617657;0.004257865;0.3351740477;-1.8836046322
16824352;XYLT1;64131;-1.4645815061;5.1603534877;-3.2221462253;0.0042853259;0.3351740477;-1.8890218851
16839833;CTD-3195I5.5//C17orf85;---;1.4436374323;2.1642047974;3.2217691437;0.0042890168;0.3351740477;-1.8897473307
16843602;CCL3L3//CCL3L1;414062;-2.5796231653;5.4442131474;-3.2163007451;0.0043428911;0.3369069134;-1.9002655368
16820367;NFATC3;4775;-1.2319935808;5.6876925936;-3.2084720388;0.0044211685;0.3377194526;-1.9153166861
16928391;CRYBB3;1417;1.1601498978;1.8775704975;3.2030922481;0.0044757547;0.3377194526;-1.9256548229
17051860;BPGM;669;1.5520769085;3.4824879644;3.1988611743;0.0045191461;0.3377194526;-1.9337827244
17056815;TRGJP2//TARP//TRGC2;---;-3.7307778447;4.7047894536;-3.1986635672;0.0045211826;0.3377194526;-1.9341622676
16848079;WIPI1;55062;-1.2932874257;4.8572320753;-3.1980528796;0.0045274819;0.3377194526;-1.9353351789
16916130;TPD52L2;7165;1.0927774926;4.7485925434;3.1945744928;0.0045635253;0.3377194526;-1.9420149229
16833037;SUZ12;23512;-1.3484869077;5.2359951864;-3.192334467;0.0045868844;0.3377194526;-1.9463156801
16808522;PATL2;197135;-1.4975964508;2.2126003373;-3.1903594745;0.0046075763;0.3377194526;-1.9501070022
16782064;TRAJ30;---;-2.0368804177;5.0535980452;-3.1866267473;0.0046469322;0.3382712019;-1.9572710882
16782120;TRAJ1;---;-1.4932895665;3.4478350718;-3.1820291234;0.004695857;0.3385781073;-1.9660924336
16960554;GPR171;29909;-1.5963403579;5.847235812;-3.1773747414;0.0047458962;0.3385781073;-1.9750196158
16764732;BIN2;51411;-1.4238870933;5.8443058939;-3.1767140931;0.0047530408;0.3385781073;-1.976286499
16826968;SNORA76A;677830;-1.767938976;5.5035248751;-3.174360658;0.004778577;0.3385781073;-1.9807990224
16738262;PTPRJ;5795;-1.3890903986;7.4067552535;-3.168592467;0.0048417311;0.3390429164;-1.9918556852
16676215;SNORA77;677843;1.3807250467;1.7118578754;3.1673139684;0.0048558384;0.3390429164;-1.9943057007
17032495;HLA-DMB//HLA-DMA//XXbac-BPG181M17.5;3109;-1.0971712654;4.2034397575;-3.1650570314;0.0048808399;0.3390429164;-1.9986301378
16935646;RN7SKP80;---;1.7096527909;3.6653695021;3.1604518571;0.004932243;0.3399071447;-2.0074516347
17101726;CA5BP1;340591;1.4555455031;3.1043452623;3.1502678929;0.0050477925;0.3399071447;-2.0269485157
17021049;HMGN3;9324;-1.2266555784;4.553120531;-3.1473475021;0.0050814105;0.3399071447;-2.0325366564
17012859;PDE7B;27115;-1.7018809511;5.3693587634;-3.1403099369;0.0051633194;0.3399071447;-2.0459976861
17096785;LOC101928579//RP11-217B7.3;101928579;1.0310503491;1.402439969;3.1347747294;0.0052286423;0.3399071447;-2.0565798038
16661533;ATPIF1;93974;-1.290230803;4.1165555709;-3.1319751597;0.005261986;0.3399071447;-2.0619301855
16668002;FAM102B;284611;2.177624504;4.4335633979;3.130816535;0.0052758458;0.3399071447;-2.0641441313
16751246;RNU6-199P;---;-2.0836963801;1.5106978125;-3.1295958813;0.0052904861;0.3399071447;-2.0664763799
16712652;LINC00614;---;1.318601959;1.5643864263;3.1273644216;0.0053173517;0.3399071447;-2.070739334
17063773;TRBV7-7;---;-2.8150481766;4.4671486947;-3.126646661;0.0053260213;0.3399071447;-2.0721103711
17110237;CASK;8573;-1.458093881;4.603384288;-3.1237096097;0.0053616401;0.3399071447;-2.077719771
16937612;LINC00852;84657;1.5288846014;4.2805309289;3.1229059035;0.0053714272;0.3399071447;-2.0792545145
16789080;TRAF3;7187;1.3215903992;4.3902414983;3.1183013763;0.0054278337;0.3399071447;-2.0880452887
16683377;ID3;3399;1.204556696;1.7710361433;3.1175813976;0.0054367055;0.3399071447;-2.0894195412
16868619;S1PR2//CTD-2369P2.2;9294;1.7500033764;4.2074861213;3.1174454708;0.005438382;0.3399071447;-2.0896789809
16943401;FAM172BP;131909;1.6436125953;2.5064787438;3.1165257237;0.0054497391;0.3399071447;-2.0914344005
16993235;N4BP3//RP11-889L3.3;23138;1.0780899589;1.9536117799;3.1160621226;0.0054554725;0.3399071447;-2.0923191741
16830754;KDM6B;23135;2.379239122;4.2477006424;3.113251321;0.0054903591;0.3399071447;-2.097682805
16894127;CMPK2;129607;-1.2738751173;2.5593980911;-3.1124019558;0.0055009436;0.3399071447;-2.099303335
16813303;CTD-3065B20.2;---;-1.2962511438;3.4789807326;-3.1067493107;0.0055718911;0.342300917;-2.1100852618
16824865;LOC100190986//LOC102725125;100190986;-1.1266043274;6.2579446674;-3.097464449;0.0056903577;0.3438253418;-2.1277841826
16817918;MIR4518;100616405;-2.7535832941;2.7237516284;-3.0933275173;0.0057439244;0.3438253418;-2.1356655502
16822892;SNORA64//RPS2;26784;1.3123970314;3.0150942611;3.0907847243;0.0057770918;0.3438253418;-2.1405084973
16692088;POLR3GL;84265;-1.0491236565;3.3445889176;-3.0879572144;0.0058141909;0.3438253418;-2.1458924622
16833426;CCL4L2//CCL4L1//CCL4;9560;-2.4485960609;5.518208025;-3.0878802836;0.0058152035;0.3438253418;-2.1460389305
16856896;GNA15;2769;1.5790129892;4.2073830266;3.0818480158;0.0058951383;0.3438253418;-2.1575206993
16830778;TMEM88;92162;2.2341728979;3.3755077518;3.0773751833;0.0059550951;0.3438253418;-2.1660303433
16780592;GPR183;1880;1.3599770867;7.3054174655;3.076799639;0.0059628529;0.3438253418;-2.1671250836
16855810;CD226;10666;-1.0274958077;7.222530845;-3.0767651259;0.0059633184;0.3438253418;-2.1671907291
16679482;RP11-269F20.1;---;-1.0824861262;2.2373835352;-3.0711876122;0.006039012;0.3438253418;-2.1777967757
16889923;AC007679.3;---;1.1712517189;3.5196775569;3.0710184913;0.0060413217;0.3438253418;-2.1781182893
16846019;FAM215A//FAM215B;23591;-1.3726038211;2.5801088282;-3.0657056936;0.0061143146;0.3438253418;-2.1882159143
16747402;LAG3;3902;-1.6260302763;3.0274035112;-3.063332425;0.0061471964;0.3438253418;-2.1927250501
17059660;KRIT1;889;-1.2631238744;4.1692543537;-3.0626225501;0.0061570649;0.3438253418;-2.194073603
16929562;HMOX1;3162;1.9288209447;2.9115906741;3.0624926614;0.0061588723;0.3438253418;-2.1943203438
16757373;OAS2;4939;-1.8206660071;4.2065372018;-3.0618720512;0.0061675149;0.3438253418;-2.1954992357
16937579;IRAK2;3656;1.7271910377;3.1785129603;3.0610470962;0.0061790215;0.3438253418;-2.1970661923
16701533;RNA5SP82;---;-2.4683663219;2.5690309273;-3.0577340747;0.0062254414;0.3446041223;-2.203357916
16914295;RNU6ATAC38P;---;1.2212936368;2.4497348664;3.054072314;0.0062771404;0.3450520489;-2.2103097236
16816406;RNU6-1340P;---;-1.6590605453;2.3682377362;-3.0525703404;0.0062984661;0.3450520489;-2.2131605301
16683624;RUNX3;864;1.3806132242;5.5769275319;3.0425985815;0.0064418377;0.3471866171;-2.2320773495
16996119;ARL15;54622;-1.1706549952;2.7069584188;-3.0401323324;0.0064777808;0.3471866171;-2.2367532271
16666485;IFI44L;10964;-2.8173090328;2.4254431635;-3.0383154375;0.0065043843;0.3471866171;-2.2401972754
16756222;IGANRP;100652933;-1.1901982364;4.5376962085;-3.0354509801;0.0065465411;0.3471866171;-2.24562586
16833292;LIG3;3980;-1.3332076537;4.449721275;-3.0326176097;0.0065885003;0.3471866171;-2.2509940925
16690789;DENND2D;79961;-1.2723817369;3.7140079238;-3.0273919841;0.006666569;0.3471866171;-2.2608910316
16843795;SYNRG;11276;-1.2103933008;6.120381199;-3.0265009378;0.0066799698;0.3471866171;-2.2625781158
16813286;CIB1;10519;1.3714662768;5.0922951401;3.0243893783;0.0067118304;0.3471866171;-2.2665755167
17104768;OGT;8473;-1.104471345;6.4279996645;-3.0236475101;0.006723059;0.3471866171;-2.2679797587
17037290;HLA-DMB//XXbac-BPG181M17.5;3109;-1.0664467884;4.2123704463;-3.022972009;0.0067332989;0.3471866171;-2.2692582913
17044056;SP4;6671;-1.207432725;5.4656118141;-3.0214256307;0.0067567972;0.3471866171;-2.2721848368
16745113;BCL9L;283149;1.3936235667;4.3367627515;3.0210771909;0.0067621029;0.3471866171;-2.2728442046
16953811;MIR191;406966;1.3759580564;2.3989348614;3.0164489038;0.006832961;0.3474979019;-2.2816004185
16734284;KRTAP5-2;440021;-1.3801717357;1.591281245;-3.0164100642;0.0068335587;0.3474979019;-2.2816738822
17046181;LANCL2;55915;1.1209203427;1.8073348845;3.0129140765;0.006887561;0.3485761842;-2.2882852881
16824301;FOPNL;123811;-1.573858951;5.3926622261;-3.0081826003;0.0069613047;0.350576803;-2.2972295977
17001763;TNIP1;10318;1.2405582632;4.5390585461;3.0049326782;0.0070123984;0.350576803;-2.3033708024
16807228;RP11-326N17.1;---;-1.1361514854;2.614874137;-3.0040682078;0.00702605;0.350576803;-2.3050040159
16833159;CDK5R1;8851;1.3154080929;1.9316479424;2.9992977059;0.0071018478;0.3527029847;-2.3140142522
16750395;LOC102723757//RP11-474P2.2;102723757;1.0667894313;2.8401843589;2.9970767037;0.0071374057;0.3528202239;-2.3182076948
16873581;PRKD2;25865;-1.4631612627;5.2476976573;-2.9900827372;0.007250504;0.3531228586;-2.3314068366
16788395;RP11-638I2.2;---;2.0194261968;2.1746641407;2.9900510546;0.0072510202;0.3531228586;-2.3314666074
16790362;SNORD8;319103;-2.0140889829;3.3185606512;-2.9861478421;0.0073148925;0.3531228586;-2.3388287705
17115966;LINC00278;100873962;-1.7552374039;2.1584761899;-2.986139413;0.0073150311;0.3531228586;-2.3388446663
16779006;LPAR6;10161;-1.2660261161;2.4618193513;-2.9816410078;0.0073893177;0.3531228586;-2.347325859
16803134;C15orf39;56905;1.3362698133;3.7877953517;2.9797920181;0.0074200624;0.3531228586;-2.3508107785
16880712;SLC1A4;6509;1.5305148797;4.2369432907;2.9797720318;0.0074203954;0.3531228586;-2.3508484446
16897886;FANCL;55120;-1.1382961436;2.4503387907;-2.9768245583;0.0074696629;0.3531228586;-2.3564023817
16981266;DDX60L;91351;-1.1847880122;3.2550294489;-2.9764703705;0.0074756044;0.3531228586;-2.3570696666
17025144;RP11-52J3.2;---;1.1458326054;2.2854348486;2.9764596079;0.007475785;0.3531228586;-2.3570899428
16879067;CRIM1//LOC101929500;51232;-2.0290099678;3.3804287362;-2.9741974106;0.0075138418;0.3533500483;-2.361351314
16702229;PRKCQ-AS1;439949;-1.063958276;3.3041367986;-2.9690891586;0.0076004659;0.3549419386;-2.3709702347
17068462;IKBKB;3551;-1.1162690532;3.7999312978;-2.963303471;0.0076997401;0.3549419386;-2.3818586278
16923145;ABCG1;9619;2.0107515688;2.9106253897;2.9614408173;0.0077319657;0.3549419386;-2.3853626571
16715170;PRF1;5551;-1.7330077668;5.2263813983;-2.958907589;0.0077760013;0.3549419386;-2.3901270756
16703407;APBB1IP;54518;-1.1370365431;4.9631559112;-2.9573660773;0.0078029159;0.3549419386;-2.3930256831
16775643;NDFIP2;54602;1.304155569;4.2991033046;2.9570681637;0.0078081278;0.3549419386;-2.3935858156
16775883;MBNL2;10150;1.4079215325;5.9770134503;2.9561697461;0.0078238655;0.3549419386;-2.3952749001
17084371;TRBV25OR9-2;---;1.1535376691;2.3393093425;2.9557674595;0.0078309223;0.3549419386;-2.3960311737
17042487;TAP1//PSMB8-AS1;6890;-1.1613731603;5.2538924219;-2.9547803172;0.0078482645;0.3549419386;-2.3978868029
16786616;BATF;10538;1.4512456997;4.8637269223;2.9503775977;0.0079260633;0.3560955695;-2.4061606688
16987531;ERAP2;64167;-1.2138605685;4.3703794222;-2.9486329322;0.0079570977;0.3560955695;-2.4094382824
17042506;HLA-DMB//XXbac-BPG181M17.5;3109;-1.0461347503;4.2275605904;-2.9472694999;0.007981432;0.3560955695;-2.4119992681
16715637;ZSWIM8-AS1//NDST2//RP11-574K11.31;100507331;-1.3556613152;3.3792300476;-2.9447846632;0.0080259653;0.3560955695;-2.4166656693
16829486;FAM57A;79850;1.4423238269;2.1565109328;2.9439320987;0.0080413;0.3560955695;-2.4182664572
16690067;SASS6;163786;-1.10243019;3.8182449541;-2.9382686592;0.0081438842;0.3591419161;-2.4288964876
17116818;RN7SKP282;---;-1.3167594149;2.0728891993;-2.9362724266;0.0081803421;0.3592589924;-2.4326417791
16960842;RNA5SP146;---;-1.5015242581;1.1504546273;-2.9336066388;0.0082292733;0.3599206443;-2.4376420109
17086350;RP11-575L7.8;---;-1.5599019455;6.4301091082;-2.9314718954;0.0082686599;0.3601611382;-2.4416451131
17067602;CTD-2373N4.5;---;-1.5033023207;2.8055441122;-2.9287262566;0.0083195844;0.3609001771;-2.446792402
17104223;SPIN4-AS1;---;-1.1548842013;1.8684348247;-2.9253677443;0.0083822864;0.3614297858;-2.4530865453
